Transaction Date,Details,Account,Category,Subcategory,Notes,Debit,Credit,Balance,Original Description
11-05-2023,Scott-Goodwin,Transaction Account,Transportation,Public Transit,Generation already group traditional young process.,408.86,,11299.62,Traditional administration pressure industry everyone.
25-06-2022,Snyder-Mccoy,Transaction Account,Insurance,Financial Insurance,Significant attention civil pay practice.,601.69,,46862.18,Foot find individual yard candidate.
24-02-2023,Hunter LLC,Transaction Account,Travel,Accommodation,Tv answer car group better identify.,577.91,,32685.04,Increase standard ok prevent answer student.
14-08-2022,Hamilton LLC,Transaction Account,Gifts & Donations,Gifts,Business throughout democratic agency understand red.,536.94,,12184.14,Foreign stay begin continue.
11-01-2023,"Dennis, White and Clark",Transaction Account,Travel,Tours & Cruises,Lot no guy federal.,532.8,,42094.67,Claim other onto forward fine.
22-10-2022,Murphy and Sons,Transaction Account,Transportation,Public Transit,Nearly difficult thank.,718.07,,31584.41,Glass may summer event.
04-07-2022,Becker Inc,Transaction Account,Income,Salary,Your charge under participant performance could put.,,643.49,32898.52,Family generation citizen it.
30-07-2022,"Clark, Robinson and Long",Transaction Account,Services,Marketing,Show remember institution last attention vote mind.,700.52,,26608.05,Threat research of trouble generation people.
13-07-2022,"Wood, Ballard and Morales",Transaction Account,Technology,Software,Reach hand again tend size.,382.91,,15592.24,Century painting meet face skin.
07-04-2023,"Casey, Powell and Hudson",Transaction Account,Income,Salary,Part ability sister how current.,,974.14,26567.18,Store through record car house trip policy.
22-12-2022,"Mendoza, Sullivan and Zimmerman",Transaction Account,Income,Salary,Serious when account marriage kid.,,811.88,31932.09,Step decision tree movement war exist consider candidate.
24-04-2023,Lee LLC,Transaction Account,Gifts & Donations,Gifts,Painting write opportunity east friend.,103.84,,24811.54,Sort go language industry indicate team.
14-11-2022,"Hughes, Roman and Fitzgerald",Transaction Account,Health & Medical,Pharmacies,Talk growth receive tough system moment energy.,100.77,,30452.81,Indicate language Republican course century my game.
01-04-2023,Hess-Price,Transaction Account,Travel,Flights,Tv pattern book every.,457.35,,43716.9,Poor attorney myself history hundred them.
22-02-2023,Schmidt-Molina,Transaction Account,Technology,Online Services,Believe visit per whom begin need.,368.15,,20222.07,Answer during institution who.
04-12-2022,Brooks Ltd,Transaction Account,Insurance,Financial Insurance,Address maybe term executive with letter fine receive.,107.44,,18456.07,Space research size fund thousand catch forward receive.
04-09-2022,Hoffman Ltd,Transaction Account,Food & Drink,Other Food Expenses,Matter policy role act final throughout court.,440.23,,14699.6,Certain body staff way culture.
05-08-2022,Johnson-Howard,Transaction Account,Transportation,Public Transit,Management behavior author structure receive language.,263.99,,31611.91,Too behavior sing.
23-04-2023,Hill-Jackson,Transaction Account,Leisure,Music,Expert imagine prevent follow should next out.,471.44,,34190.49,Change never collection business during tough.
10-02-2023,Lopez and Sons,Transaction Account,Services,Marketing,Animal want various word knowledge describe.,526.81,,15846.11,These clearly southern enter practice daughter.
